target_model,model,term,coef,std_err,t,p_value,ci_low,ci_high
google_gemma-3-12b-pt,World-Knowledge Model,C(dominance)[T.-dom],0.014309380391051,0.0578074047030909,0.247535423265351,0.8044971914557318,-0.0989999860073858,0.1276187467894879
google_gemma-3-12b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[+val],0.0112924127229648,0.0578074047030912,0.1953454368166945,0.845125114428341,-0.1020169536754728,0.1246017791214024
google_gemma-3-12b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[-val],0.0488595513948486,0.057807404703091,0.8452126789950141,0.3980052792222673,-0.0644498150035886,0.1621689177932858
google_gemma-3-12b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.0386423746744762,0.0349623002818491,-1.1052583600895851,0.2690649796002685,-0.1071726280756706,0.0298878787267181
google_gemma-3-12b-pt,World-Knowledge Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0498906453450428,0.0349623002818485,-1.4269840640589848,0.1536048295159713,-0.118420898746236,0.0186396080561504
google_gemma-3-12b-pt,World-Knowledge Model,male_perc,0.0399271698435791,0.0007760651972573,51.44821592912837,0.0,0.0384059900529145,0.0414483496342437
google_gemma-3-12b-pt,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],-0.0004091818373939,0.0007760651972573,-0.5272518840426843,0.5980263032254184,-0.0019303616280584,0.0011119979532706
google_gemma-3-12b-pt,World-Knowledge Model,male_perc:C(valence)[T.-val],0.0018299398805684,0.0007760651972573,2.35797183926742,0.0183875591556366,0.0003087600899038,0.003351119671233
google_gemma-3-12b-pt,World-Knowledge Model,male_perc:C(dominance)[T.-dom],0.0004849259353072,0.0007760651972573,0.6248520575603116,0.5320774488680526,-0.0010362538553573,0.0020061057259718
google_gemma-3-12b-pt,Human-Perception Model,Intercept,-0.4567297295800823,0.0483524271561635,-9.445849080233042,4.022958550025955e-21,-0.5515062185936201,-0.3619532405665444
google_gemma-3-12b-pt,Human-Perception Model,C(syntactic_role)[T.subject],-0.1547296120234227,0.0576164900031807,-2.685509166123809,0.0072497244252422,-0.26766476239651,-0.0417944616503355
google_gemma-3-12b-pt,Human-Perception Model,C(syntactic_role)[non-subject]:C(valence)[T.-val],-0.0047472885895699,0.0576164900031807,-0.0823946163556277,0.9343339913348118,-0.1176824389626571,0.1081878617835173
google_gemma-3-12b-pt,Human-Perception Model,C(syntactic_role)[subject]:C(valence)[T.-val],-0.037251561050497,0.0576164900031809,-0.6465433949280908,0.5179371697429491,-0.1501867114235845,0.0756835893225905
google_gemma-3-12b-pt,Human-Perception Model,C(syntactic_role)[non-subject]:C(dominance)[T.-dom],-0.0144337972005202,0.0301782433209343,-0.4782848705612924,0.6324542747474189,-0.0735867314951499,0.0447191370941093
google_gemma-3-12b-pt,Human-Perception Model,C(syntactic_role)[subject]:C(dominance)[T.-dom],0.0659500122070431,0.0301782433209343,2.1853496078512373,0.0288782848654524,0.0067970779124134,0.1251029465016728
google_gemma-3-12b-pt,Human-Perception Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0498906453450626,0.034846833810023,-1.431712436689516,0.1522464959646215,-0.118194570421784,0.0184132797316587
google_gemma-3-12b-pt,Human-Perception Model,male_perc,0.0402922424584861,0.0006698725246033,60.1491193900583,0.0,0.0389792129023174,0.0416052720146549
google_gemma-3-12b-pt,Human-Perception Model,male_perc:C(syntactic_role)[T.subject],-0.0006544011319007,0.0007735021648049,-0.8460236592431774,0.3975527338898499,-0.0021705570673167,0.0008617548035151
google_gemma-3-12b-pt,Human-Perception Model,male_perc:C(valence)[T.-val],0.0018299398805684,0.0007735021648049,2.3657850796446818,0.0180042387221431,0.0003137839451524,0.0033460958159843
google_gemma-3-27b-pt,World-Knowledge Model,Intercept,-0.4942585133613713,0.0563545686771309,-8.770513641814887,1.9627089918584927e-18,-0.6047201489123872,-0.3837968778103554
google_gemma-3-27b-pt,World-Knowledge Model,C(semantic_role)[T.patient],0.0466108691162224,0.0598808815570069,0.7783931683077953,0.4363492639214125,-0.070762757730608,0.163984495963053
google_gemma-3-27b-pt,World-Knowledge Model,C(valence)[T.-val],-0.0496922766643433,0.0598808815570069,-0.8298521226184022,0.4066353031537654,-0.1670659035111738,0.0676813501824871
google_gemma-3-27b-pt,World-Knowledge Model,C(dominance)[T.-dom],0.1353275108862178,0.059880881557007,2.259945200662836,0.0238386074260833,0.0179538840393871,0.2527011377330485
google_gemma-3-27b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[T.-val],0.0136048634846972,0.0362163527819811,0.3756552617707589,0.7071783929599256,-0.0573834814871214,0.084593208456516
google_gemma-3-27b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.0644329071044923,0.0362163527819812,-1.7791108754758336,0.0752413704151906,-0.1354212520763112,0.0065554378673265
google_gemma-3-27b-pt,World-Knowledge Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0666200002034397,0.0362163527819812,-1.839500531831169,0.0658609006111111,-0.1376083451752586,0.0043683447683791
google_gemma-3-27b-pt,World-Knowledge Model,male_perc,0.0409475800330978,0.0008039016523258,50.93605656192865,0.0,0.039371837490433,0.0425233225757625
google_gemma-3-27b-pt,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],0.0004839946096627,0.0008039016523258,0.602056990755524,0.5471450952762732,-0.001091747933002,0.0020597371523274
google_gemma-3-27b-pt,World-Knowledge Model,male_perc:C(valence)[T.-val],0.0029662189272219,0.0008039016523258,3.689778368585301,0.0002252252910881,0.0013904763845571,0.0045419614698867
google_gemma-3-27b-pt,World-Knowledge Model,male_perc:C(dominance)[T.-dom],-0.0012852612348188,0.0008039016523258,-1.5987791928282815,0.1098902569248699,-0.0028610037774836,0.0002904813078459
google_gemma-3-27b-pt,Human-Perception Model,Intercept,-0.4665087320261395,0.0562323021565923,-8.296098757028188,1.1644715389482842e-16,-0.5767307107019658,-0.3562867533503134
google_gemma-3-27b-pt,Human-Perception Model,C(syntactic_role)[T.subject],-0.0088886935542354,0.0597509643700512,-0.1487623446407612,0.8817431188657922,-0.1260076673126973,0.1082302802042264
google_gemma-3-27b-pt,Human-Perception Model,C(dominance)[T.-dom],0.0734201876847214,0.0597509643700506,1.2287699195951782,0.2191769212670795,-0.0436987860737391,0.190539161443182
google_gemma-3-27b-pt,Human-Perception Model,C(syntactic_role)[non-subject]:C(valence)[T.-val],-0.030031708427038,0.0597509643700515,-0.5026146229380452,0.6152424572527067,-0.1471506821855004,0.0870872653314243
google_gemma-3-27b-pt,Human-Perception Model,C(syntactic_role)[subject]:C(valence)[T.-val],-0.0557479814169392,0.0597509643700515,-0.933005550700054,0.3508317784698037,-0.1728669551754017,0.0613709923415231
google_gemma-3-27b-pt,Human-Perception Model,C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.0593817392985048,0.0361377780089835,1.6432039425263774,0.1003612268677789,-0.0114525898030462,0.130216068400056
google_gemma-3-27b-pt,Human-Perception Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0666200002034453,0.0361377780089838,-1.843500178314328,0.0652752811161466,-0.1374543293049971,0.0042143288981063
google_gemma-3-27b-pt,Human-Perception Model,male_perc,0.0424112653762175,0.0008021575123174,52.87149309826697,0.0,0.0408389415547403,0.0439835891976946
google_gemma-3-27b-pt,Human-Perception Model,male_perc:C(syntactic_role)[T.subject],-0.0024433760765765,0.0008021575123175,-3.0460053531350204,0.0023229718497656,-0.0040156998980537,-0.0008710522550993
google_gemma-3-27b-pt,Human-Perception Model,male_perc:C(valence)[T.-val],0.0029662189272218,0.0008021575123175,3.6978010947653135,0.0002182330258934,0.0013938951057446,0.004538542748699
google_gemma-3-27b-pt,Human-Perception Model,male_perc:C(dominance)[T.-dom],-0.0012852612348188,0.0008021575123174,-1.6022554362242607,0.1091197133216507,-0.002857585056296,0.0002870625866583
google_gemma-3-4b-pt,World-Knowledge Model,Intercept,-0.5493413730945734,0.0512365453785539,-10.72167081203158,1.0014052950471679e-26,-0.6497710762287515,-0.4489116699603953
google_gemma-3-4b-pt,World-Knowledge Model,C(semantic_role)[T.patient],-0.2266593378221596,0.0544426046942393,-4.163271377170957,3.15432321236433e-05,-0.3333732972996551,-0.1199453783446641
google_gemma-3-4b-pt,World-Knowledge Model,C(valence)[T.-val],0.0645298329798608,0.0544426046942392,1.1852818824939306,0.2359243645778196,-0.0421841264976345,0.1712437924573562
google_gemma-3-4b-pt,World-Knowledge Model,C(dominance)[T.-dom],0.032135914899762,0.0544426046942393,0.5902714442162313,0.5550173705921551,-0.0745780445777335,0.1388498743772576
google_gemma-3-4b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[T.-val],0.0765579223632789,0.0329272470061989,2.3250629592223704,0.0200815651086029,0.0120166146418869,0.141099230084671
google_gemma-3-4b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.0200986226399737,0.032927247006199,0.6103948695191519,0.5416093032185598,-0.0444426850814184,0.0846399303613659
google_gemma-3-4b-pt,World-Knowledge Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.1654533386230375,0.032927247006199,-5.0248154238916,5.095831332659191e-07,-0.2299946463444296,-0.1009120309016453
google_gemma-3-4b-pt,World-Knowledge Model,male_perc,0.0365425794922887,0.0007308927112062,49.99718690856631,0.0,0.0351099431295705,0.037975215855007
google_gemma-3-4b-pt,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],0.0024815325687483,0.0007308927112062,3.395207710653972,0.0006875021973303,0.00104889620603,0.0039141689314666
google_gemma-3-4b-pt,World-Knowledge Model,male_perc:C(valence)[T.-val],0.0015699358428458,0.0007308927112062,2.1479703091509164,0.0317317183339865,0.0001372994801276,0.0030025722055641
google_gemma-3-4b-pt,World-Knowledge Model,male_perc:C(dominance)[T.-dom],0.0013556091329243,0.0007308927112062,1.8547306768007596,0.0636538594797756,-7.702722979390582e-05,0.0027882454956426
google_gemma-3-4b-pt,Human-Perception Model,Intercept,-0.5638255006940679,0.0494875439631595,-11.393281127748052,5.9585921706244125e-30,-0.6608269532081945,-0.4668240481799413
google_gemma-3-4b-pt,Human-Perception Model,C(syntactic_role)[T.subject],-0.1976910826231827,0.050781864969261,-3.89294648282114,9.94529179778565e-05,-0.2972295577405094,-0.0981526075058561
google_gemma-3-4b-pt,Human-Perception Model,C(valence)[T.-val],0.1344768849818115,0.0532762556328569,2.5241429485685534,0.0116080754540184,0.0300491084740864,0.2389046614895366
google_gemma-3-4b-pt,Human-Perception Model,C(dominance)[T.-dom],0.0421852262197468,0.0507818649692608,0.8307143947013814,0.4061479129320506,-0.0573532488975794,0.1417237013370731
google_gemma-3-4b-pt,Human-Perception Model,C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.0633361816406249,0.0322218313881319,-1.9656294788989876,0.0493594257948621,-0.1264947907977265,-0.0001775724835232
google_gemma-3-4b-pt,Human-Perception Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.1654533386230398,0.0322218313881319,-5.134821066811864,2.858662451794443e-07,-0.2286119477801415,-0.1022947294659382
google_gemma-3-4b-pt,Human-Perception Model,male_perc,0.0392787581205752,0.0007152344591356,54.91731783735046,0.0,0.0378768137954343,0.040680702445716
google_gemma-3-4b-pt,Human-Perception Model,male_perc:C(syntactic_role)[T.subject],-0.0029908246878246,0.0007152344591356,-4.181600382396638,2.910707626378136e-05,-0.0043927690129655,-0.0015888803626838
google_gemma-3-4b-pt,Human-Perception Model,male_perc:C(valence)[T.-val],0.0015699358428459,0.0007152344591355,2.1949946941081344,0.0281788991750532,0.0001679915177051,0.0029718801679867
google_gemma-3-4b-pt,Human-Perception Model,male_perc:C(dominance)[T.-dom],0.0013556091329244,0.0007152344591356,1.895335320620336,0.0580667604768485,-4.633519221634635e-05,0.0027575534580653
gpt2,World-Knowledge Model,Intercept,-0.3580744665845649,0.0510175501667202,-7.018652707047149,2.334002287152243e-12,-0.4580749131412402,-0.2580740200278896
gpt2,World-Knowledge Model,C(semantic_role)[T.patient],-0.1001336963773383,0.0542099061455822,-1.847147569457628,0.0647449885048207,-0.2063915391125999,0.0061241463579232
gpt2,World-Knowledge Model,C(valence)[T.-val],0.1018037959419387,0.0542099061455822,1.8779555837735964,0.0604061848940516,-0.0044540467933228,0.2080616386772002
gpt2,World-Knowledge Model,C(dominance)[T.-dom],-0.0877144444393642,0.0542099061455822,-1.6180519516821252,0.1056719495070436,-0.1939722871746259,0.0185433982958974
gpt2,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[T.-val],0.020904863460489,0.0327865093865967,0.6376056448703578,0.5237399310544707,-0.0433605818417637,0.0851703087627417
gpt2,World-Knowledge Model,C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.0486660196093106,0.0327865093865967,1.484330614017894,0.1377417670634371,-0.0155994256929422,0.1129314649115635
gpt2,World-Knowledge Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0414623853031234,0.0327865093865967,-1.2646172489491505,0.2060277678603759,-0.1057278306053763,0.0228030599991293
gpt2,World-Knowledge Model,male_perc,0.029670383738179,0.000727768730014,40.76897304670848,0.0,0.0282438707489516,0.0310968967274064
gpt2,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],-0.0005544723618402,0.000727768730014,-0.7618798925719277,0.4461433981294155,-0.0019809853510677,0.0008720406273871
gpt2,World-Knowledge Model,male_perc:C(valence)[T.-val],0.000143264549283,0.000727768730014,0.1968544997533609,0.8439440072001844,-0.0012832484399443,0.0015697775385104
gpt2,World-Knowledge Model,male_perc:C(dominance)[T.-dom],0.000570288264808,0.000727768730014,0.7836119378158762,0.4332799401691398,-0.0008562247244193,0.0019968012540354
gpt2,Human-Perception Model,Intercept,-0.4158689156163632,0.0356491050633788,-11.665620073126934,2.589039882475593e-31,-0.4857453856581143,-0.345992445574612
gpt2,Human-Perception Model,C(valence)[T.-val],0.0915250350206217,0.0490614319877853,1.8655190301703453,0.062127742845816,-0.0046411850403024,0.1876912550815458
gpt2,Human-Perception Model,C(dominance)[T.-dom],-0.0479262329484531,0.0164129994179948,-2.9200167335598506,0.0035052145873196,-0.0800976566093784,-0.0157548092875278
gpt2,Human-Perception Model,male_perc,0.0296782916896629,0.000515230022279,57.60202318643106,0.0,0.0286683797955947,0.0306882035837311
gpt2,Human-Perception Model,male_perc:C(valence)[T.-val],0.0001432645492829,0.0007286452852488,0.1966176851526199,0.8441293321272508,-0.0012849665481101,0.0015714956466761
mistralai_Mistral-7B-v0.3,World-Knowledge Model,Intercept,-0.1422001936698328,0.0551258850656046,-2.579553933702873,0.0099020139418283,-0.2502534636794227,-0.034146923660243
mistralai_Mistral-7B-v0.3,World-Knowledge Model,C(semantic_role)[T.patient],-0.0998302214010361,0.0585753146874533,-1.7043053363641492,0.0883442976462019,-0.2146447824060472,0.0149843396039749
mistralai_Mistral-7B-v0.3,World-Knowledge Model,C(valence)[T.-val],-0.1320828800564057,0.0585753146874533,-2.25492395151737,0.0241521333829493,-0.2468974410614168,-0.0172683190513946
mistralai_Mistral-7B-v0.3,World-Knowledge Model,C(dominance)[T.-dom],-0.0002589900944911,0.0585753146874534,-0.0044214887427086,0.9964722313514848,-0.1150735510995024,0.11455557091052
mistralai_Mistral-7B-v0.3,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[T.-val],0.0510363896687795,0.0354267373137585,1.440617836657476,0.1497130760660175,-0.0184042153748717,0.1204769947124307
mistralai_Mistral-7B-v0.3,World-Knowledge Model,C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.0565707524617515,0.0354267373137586,-1.5968377770927633,0.1103224586184508,-0.1260113575054029,0.0128698525818998
mistralai_Mistral-7B-v0.3,World-Knowledge Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0490007400512586,0.0354267373137585,-1.3831570098392427,0.1666368466928012,-0.11844134509491,0.0204398649923926
mistralai_Mistral-7B-v0.3,World-Knowledge Model,male_perc,0.0372427966190932,0.00078637439928,47.36013361217053,0.0,0.0357014095702882,0.0387841836678982
mistralai_Mistral-7B-v0.3,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],0.0021090774943937,0.00078637439928,2.6820271569428344,0.0073255830413763,0.0005676904455886,0.0036504645431987
mistralai_Mistral-7B-v0.3,World-Knowledge Model,male_perc:C(valence)[T.-val],0.0028715326988601,0.00078637439928,3.651610100086035,0.0002614675731259,0.0013301456500551,0.004412919747665
mistralai_Mistral-7B-v0.3,World-Knowledge Model,male_perc:C(dominance)[T.-dom],-0.0003304010026571,0.00078637439928,-0.4201573740951823,0.674376373097332,-0.0018717880514621,0.0012109860461478
mistralai_Mistral-7B-v0.3,Human-Perception Model,Intercept,-0.0650659393387892,0.0550953109407371,-1.1809705440954303,0.2376327240824026,-0.1730592804390168,0.0429274017614382
mistralai_Mistral-7B-v0.3,Human-Perception Model,C(syntactic_role)[T.subject],-0.2540987300630996,0.0585428274270079,-4.340390466789692,1.431397751556172e-05,-0.3688496121862097,-0.1393478479399894
mistralai_Mistral-7B-v0.3,Human-Perception Model,C(valence)[T.-val],-0.1020764713650025,0.058542827427007,-1.743620454483079,0.0812453150496087,-0.2168273534881109,0.0126744107581058
mistralai_Mistral-7B-v0.3,Human-Perception Model,C(dominance)[T.-dom],-0.0381189703597969,0.0585428274270077,-0.6511296436326779,0.514972549890387,-0.1528698524829065,0.0766319117633127
mistralai_Mistral-7B-v0.3,Human-Perception Model,C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.008976427714029,0.0354070888040067,-0.2535206371728956,0.7998693113058206,-0.0783785193491976,0.0604256639211395
mistralai_Mistral-7B-v0.3,Human-Perception Model,C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.0191492080688519,0.0354070888040067,0.5408297805801252,0.5886327623324062,-0.0502528835663166,0.0885512997040205
mistralai_Mistral-7B-v0.3,Human-Perception Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0490007400512562,0.0354070888040067,-1.3839245672666305,0.1664016762712667,-0.1184028316864248,0.0204013515839124
mistralai_Mistral-7B-v0.3,Human-Perception Model,male_perc,0.0369596238439492,0.000785938257365,47.026116234447166,0.0,0.035419091685003,0.0385001560028954
mistralai_Mistral-7B-v0.3,Human-Perception Model,male_perc:C(syntactic_role)[T.subject],0.0026754230446817,0.000785938257365,3.4041135160556477,0.0006654890921497,0.0011348908857355,0.0042159552036279
mistralai_Mistral-7B-v0.3,Human-Perception Model,male_perc:C(valence)[T.-val],0.00287153269886,0.000785938257365,3.6536364936440617,0.0002594134644454,0.0013310005399138,0.0044120648578062
mistralai_Mistral-7B-v0.3,Human-Perception Model,male_perc:C(dominance)[T.-dom],-0.0003304010026571,0.000785938257365,-0.4203905326671122,0.6742060681219696,-0.0018709331616033,0.001210131156289
